STRIP_ID,Detector,detector_side,Strip,threshold_ADC,threshold_keV
32,0,h,0,1663,8.31492
33,0,h,1,1603,6.95087
34,0,h,2,1603,5.5646
35,0,h,3,1639,5.01093
36,0,h,4,1665,9.18499
37,0,h,5,1611,6.96244
38,0,h,6,1641,7.78557
39,0,h,7,1705,7.00956
40,0,h,8,1595,7.89598
41,0,h,9,1591,6.96066
42,0,h,10,1647,6.09987
43,0,h,11,1629,6.58954
44,0,h,12,1631,7.29893
45,0,h,13,1615,9.40214
46,0,h,14,1651,3.54415
47,0,h,15,1647,2.94796
48,0,h,16,1657,7.83059
49,0,h,17,1589,6.72321
50,0,h,18,1629,6.36325
51,0,h,19,1597,7.40329
52,0,h,20,1647,4.8591
53,0,h,21,1611,8.41097
54,0,h,22,1657,7.99734
55,0,h,23,1649,8.97172
56,0,h,24,1617,6.96168
57,0,h,25,1653,6.61361
58,0,h,26,1595,4.16535
59,0,h,27,1663,4.99794
60,0,h,28,1619,8.03739
61,0,h,29,1641,7.47373
62,0,h,30,1649,8.5119
0,0,h,32,1673,10.1651
1,0,h,33,1619,10.0653
2,0,h,34,1637,10.5647
3,0,h,35,1723,9.64187
4,0,h,36,1691,5.92403
5,0,h,37,1563,7.55979
6,0,h,38,1603,7.88693
7,0,h,39,1623,9.1138
8,0,h,40,1665,3.82709
9,0,h,41,1695,5.97246
10,0,h,42,1697,7.29176
11,0,h,43,1607,8.48078
12,0,h,44,1635,8.02725
13,0,h,45,1639,8.6475
14,0,h,46,1677,7.32187
15,0,h,47,1635,7.08831
16,0,h,48,1675,5.85921
17,0,h,49,1675,4.39399
18,0,h,50,1675,8.34105
19,0,h,51,1649,7.17638
20,0,h,52,1583,6.8315
21,0,h,53,1659,8.80122
22,0,h,54,1635,2.93849
23,0,h,55,1673,7.69127
24,0,h,56,1649,6.05436
25,0,h,57,1685,8.96314
26,0,h,58,1617,6.18761
27,0,h,59,1677,5.65443
28,0,h,60,1687,7.12817
29,0,h,61,1649,8.91162
30,0,h,62,1663,5.37818
31,0,h,63,1699,7.28548
2048,0,h,64,1661,21.3682
96,0,l,0,1681,11.3203
97,0,l,1,1633,11.4817
98,0,l,2,1639,10.2134
99,0,l,3,1639,9.53668
100,0,l,4,1687,10.5523
101,0,l,5,1593,10.4253
102,0,l,6,1571,9.86031
103,0,l,7,1565,10.8408
104,0,l,8,1547,9.80729
105,0,l,9,1655,9.89072
106,0,l,10,1659,9.74117
107,0,l,11,1623,11.4561
108,0,l,12,1667,10.3192
109,0,l,13,1637,11.1523
110,0,l,14,1653,10.5106
111,0,l,15,1575,10.3022
112,0,l,16,1605,10.0927
113,0,l,17,1541,9.85073
114,0,l,18,1609,11.4804
115,0,l,19,1539,11.0377
116,0,l,20,1615,10.154
117,0,l,21,1541,10.9544
118,0,l,22,1607,10.6592
119,0,l,23,1599,10.1324
120,0,l,24,1613,10.0996
121,0,l,25,1579,9.60021
122,0,l,26,1639,10.7408
123,0,l,27,1581,10.2518
124,0,l,28,1617,10.8013
125,0,l,29,1583,11.1456
126,0,l,30,1555,11.5322
127,0,l,31,1585,10.4384
64,0,l,32,1619,9.39778
65,0,l,33,1611,7.90945
66,0,l,34,1617,7.30438
67,0,l,35,1661,8.81624
68,0,l,36,1669,7.76943
69,0,l,37,1641,8.36073
70,0,l,38,1655,7.87007
71,0,l,39,1597,8.01892
72,0,l,40,1613,7.88749
73,0,l,41,1605,7.89585
74,0,l,42,1647,8.52198
75,0,l,43,1615,7.64077
76,0,l,44,1583,7.10634
77,0,l,45,1625,8.70604
78,0,l,46,1617,8.53994
79,0,l,47,1639,8.80444
80,0,l,48,1657,8.5633
81,0,l,49,1619,8.56433
82,0,l,50,1615,7.02142
83,0,l,51,1751,17.7925
84,0,l,52,1719,21.2565
85,0,l,53,1703,19.6819
86,0,l,54,1605,9.58458
87,0,l,55,1609,6.9093
88,0,l,56,1673,7.818
89,0,l,57,1673,8.05023
90,0,l,58,1695,9.27841
91,0,l,59,1555,7.97135
92,0,l,60,1653,8.28238
93,0,l,61,1627,9.22662
94,0,l,62,1645,7.29983
95,0,l,63,1649,8.70863
2049,0,l,64,1651,15.2574
160,1,h,0,1659,7.68004
161,1,h,1,1615,8.90842
162,1,h,2,1617,7.85199
163,1,h,3,1653,7.31078
164,1,h,4,1677,11.0107
165,1,h,5,1621,8.4132
166,1,h,6,1653,9.68787
167,1,h,7,1717,9.14986
168,1,h,8,1605,9.61161
169,1,h,9,1605,9.19556
170,1,h,10,1659,8.224
171,1,h,11,1641,8.45777
172,1,h,12,1643,8.22133
173,1,h,13,1627,9.71857
174,1,h,14,1665,5.81179
175,1,h,15,1661,5.21062
176,1,h,16,1669,9.74758
177,1,h,17,1589,6.85733
178,1,h,18,1641,8.46837
179,1,h,19,1609,9.08424
180,1,h,20,1659,7.18408
181,1,h,21,1625,10.4186
182,1,h,22,1669,9.88607
183,1,h,23,1661,10.8376
184,1,h,24,1631,8.46132
185,1,h,25,1665,8.70978
186,1,h,26,1605,5.86506
187,1,h,27,1675,6.95496
188,1,h,28,1631,10.0135
189,1,h,29,1653,9.47773
190,1,h,30,1657,9.861
128,1,h,32,1679,2.02278
129,1,h,33,1625,11.167
130,1,h,34,1645,12.1415
131,1,h,35,1731,11.2552
132,1,h,36,1701,7.73601
133,1,h,37,1571,9.03762
134,1,h,38,1609,9.07067
135,1,h,39,1633,10.9811
136,1,h,40,1673,5.56158
137,1,h,41,1705,7.85476
138,1,h,42,1705,8.99024
139,1,h,43,1617,10.4123
140,1,h,44,1643,9.39616
141,1,h,45,1645,10.2246
142,1,h,46,1687,9.0808
143,1,h,47,1643,8.7203
144,1,h,48,1681,6.97155
145,1,h,49,1685,6.0653
146,1,h,50,1685,9.91614
147,1,h,51,1657,8.61697
148,1,h,52,1593,8.54726
149,1,h,53,1669,10.5232
150,1,h,54,1645,4.69298
151,1,h,55,1679,8.51376
152,1,h,56,1657,7.4999
153,1,h,57,1695,10.6342
154,1,h,58,1627,7.94144
155,1,h,59,1687,7.53287
156,1,h,60,1695,8.64085
157,1,h,61,1661,10.9682
158,1,h,62,1675,7.66937
159,1,h,63,1705,8.71399
2050,1,h,64,1669,12.1781
224,1,l,0,1681,11.2776
225,1,l,1,1637,12.3044
226,1,l,2,1643,10.7502
227,1,l,3,1643,10.1559
228,1,l,4,1691,12.1229
229,1,l,5,1597,11.162
230,1,l,6,1575,10.5497
231,1,l,7,1569,11.5411
232,1,l,8,1551,10.5922
233,1,l,9,1657,10.2663
234,1,l,10,1663,10.3737
235,1,l,11,1627,12.2278
236,1,l,12,1669,10.5821
237,1,l,13,1639,11.3894
238,1,l,14,1655,10.746
239,1,l,15,1577,10.7013
240,1,l,16,1609,10.8266
241,1,l,17,1545,10.5546
242,1,l,18,1613,12.2309
243,1,l,19,1541,11.7664
244,1,l,20,1619,10.8348
245,1,l,21,1547,11.9252
246,1,l,22,1611,11.3186
247,1,l,23,1603,10.8809
248,1,l,24,1617,10.8848
249,1,l,25,1583,10.2006
250,1,l,26,1641,11.0777
251,1,l,27,1587,11.4576
252,1,l,28,1623,11.7928
253,1,l,29,1589,12.1424
254,1,l,30,1559,12.2926
255,1,l,31,1591,11.3522
192,1,l,32,1621,9.5173
193,1,l,33,1615,8.30187
194,1,l,34,1621,7.98035
195,1,l,35,1667,9.64464
196,1,l,36,1675,8.37093
197,1,l,37,1645,8.75301
198,1,l,38,1661,9.03831
199,1,l,39,1603,9.57819
200,1,l,40,1619,8.66471
201,1,l,41,1609,8.46943
202,1,l,42,1653,9.53564
203,1,l,43,1621,8.37193
204,1,l,44,1587,7.54533
205,1,l,45,1629,9.15012
206,1,l,46,1623,9.36024
207,1,l,47,1645,9.56339
208,1,l,48,1663,9.30308
209,1,l,49,1625,8.6606
210,1,l,50,1621,8.67817
211,1,l,51,1757,18.272
212,1,l,52,1723,21.446
213,1,l,53,1707,19.9233
214,1,l,54,1609,9.43078
215,1,l,55,1615,7.6821
216,1,l,56,1677,8.25168
217,1,l,57,1677,8.4786
218,1,l,58,1699,9.46149
219,1,l,59,1561,8.73565
220,1,l,60,1659,8.98161
221,1,l,61,1633,9.47684
222,1,l,62,1651,6.51336
223,1,l,63,1651,8.87134
2051,1,l,64,1639,13.3818
288,2,h,0,1645,6.36769
289,2,h,1,1601,7.41537
290,2,h,2,1601,7.39381
291,2,h,3,1637,5.91408
292,2,h,4,1663,7.89804
293,2,h,5,1607,6.51352
294,2,h,6,1639,7.73681
295,2,h,7,1701,7.39827
296,2,h,8,1591,7.44452
297,2,h,9,1589,7.02372
298,2,h,10,1643,6.89551
299,2,h,11,1625,6.72062
300,2,h,12,1627,6.95573
301,2,h,13,1611,8.16129
302,2,h,14,1649,5.4726
303,2,h,15,1645,5.83986
304,2,h,16,1653,7.42766
305,2,h,17,1575,5.75265
306,2,h,18,1625,6.94875
307,2,h,19,1593,7.40839
308,2,h,20,1643,6.18834
309,2,h,21,1609,8.15869
310,2,h,22,1653,7.86236
311,2,h,23,1645,8.01484
312,2,h,24,1615,6.63814
313,2,h,25,1651,7.186
314,2,h,26,1591,5.78614
315,2,h,27,1661,6.08055
316,2,h,28,1615,7.88338
317,2,h,29,1637,7.78356
318,2,h,30,1647,8.88503
256,2,h,32,1677,10.6262
257,2,h,33,1621,10.168
258,2,h,34,1639,10.5108
259,2,h,35,1727,10.3822
260,2,h,36,1695,8.28355
261,2,h,37,1565,9.19309
262,2,h,38,1607,9.31363
263,2,h,39,1625,8.92137
264,2,h,40,1669,7.82503
265,2,h,41,1697,7.82947
266,2,h,42,1701,8.82998
267,2,h,43,1609,10.1051
268,2,h,44,1637,9.01727
269,2,h,45,1641,8.87715
270,2,h,46,1679,8.27213
271,2,h,47,1637,8.73714
272,2,h,48,1677,8.07328
273,2,h,49,1677,7.1116
274,2,h,50,1679,9.28538
275,2,h,51,1651,8.29411
276,2,h,52,1585,7.87812
277,2,h,53,1663,9.49585
278,2,h,54,1639,6.84234
279,2,h,55,1673,8.14779
280,2,h,56,1651,7.82078
281,2,h,57,1687,9.54642
282,2,h,58,1621,8.37589
283,2,h,59,1679,7.93132
284,2,h,60,1689,8.85484
285,2,h,61,1653,8.94396
286,2,h,62,1667,7.94104
287,2,h,63,1701,9.13826
2052,2,h,64,1661,11.1279
352,2,l,0,1677,11.4243
353,2,l,1,1629,11.2764
354,2,l,2,1635,10.0298
355,2,l,3,1633,9.65373
356,2,l,4,1683,11.063
357,2,l,5,1589,10.3309
358,2,l,6,1569,9.67197
359,2,l,7,1563,10.904
360,2,l,8,1543,9.41567
361,2,l,9,1651,10.1392
362,2,l,10,1655,9.79075
363,2,l,11,1619,11.192
364,2,l,12,1661,9.72344
365,2,l,13,1631,10.5136
366,2,l,14,1649,9.97726
367,2,l,15,1571,9.63735
368,2,l,16,1601,9.6829
369,2,l,17,1537,10.1158
370,2,l,18,1605,10.1025
371,2,l,19,1535,10.9444
372,2,l,20,1611,9.94449
373,2,l,21,1539,11.0196
374,2,l,22,1603,10.186
375,2,l,23,1595,10.5562
376,2,l,24,1609,10.3888
377,2,l,25,1575,9.9196
378,2,l,26,1635,10.0381
379,2,l,27,1579,10.3676
380,2,l,28,1613,10.036
381,2,l,29,1579,10.5413
382,2,l,30,1553,11.3211
383,2,l,31,1581,10.1964
320,2,l,32,1615,9.29046
321,2,l,33,1611,8.5091
322,2,l,34,1617,7.828
323,2,l,35,1659,9.2598
324,2,l,36,1667,8.2864
325,2,l,37,1639,8.98834
326,2,l,38,1653,8.54532
327,2,l,39,1595,9.18907
328,2,l,40,1613,8.76399
329,2,l,41,1603,8.64953
330,2,l,42,1645,8.2627
331,2,l,43,1615,7.64668
332,2,l,44,1581,7.70009
333,2,l,45,1623,9.30219
334,2,l,46,1615,8.76876
335,2,l,47,1635,8.46273
336,2,l,48,1657,9.06341
337,2,l,49,1619,9.30293
338,2,l,50,1613,7.38125
339,2,l,51,1689,8.28374
340,2,l,52,1635,7.74857
341,2,l,53,1625,7.69513
342,2,l,54,1603,8.90648
343,2,l,55,1607,7.33971
344,2,l,56,1671,8.01232
345,2,l,57,1671,8.63099
346,2,l,58,1693,9.82631
347,2,l,59,1551,7.8899
348,2,l,60,1653,8.81121
349,2,l,61,1623,8.14239
350,2,l,62,1643,7.66504
351,2,l,63,1647,8.98215
2053,2,l,64,1635,12.4237
416,3,h,0,1655,7.80751
417,3,h,1,1599,7.06641
418,3,h,2,1599,6.10405
419,3,h,3,1643,6.92211
420,3,h,4,1667,8.27843
421,3,h,5,1615,7.87348
422,3,h,6,1635,6.72133
423,3,h,7,1697,6.41645
424,3,h,8,1587,6.46454
425,3,h,9,1597,7.43047
426,3,h,10,1643,6.57237
