STRIP_ID,Detector,detector_side,Strip,threshold_ADC,threshold_keV
32,0,h,0,1629,10.2827
33,0,h,1,1647,9.64213
34,0,h,2,1617,8.95927
35,0,h,3,1639,8.93494
36,0,h,4,1649,7.51131
37,0,h,5,1587,6.19432
38,0,h,6,1553,8.45441
39,0,h,7,1633,9.89585
40,0,h,8,1601,7.27544
41,0,h,9,1593,9.66965
42,0,h,10,1571,8.26634
43,0,h,11,1643,8.63188
44,0,h,12,1531,7.06865
45,0,h,13,1589,7.42834
46,0,h,14,1567,5.26765
47,0,h,15,1613,4.21792
48,0,h,16,1583,6.7075
49,0,h,17,1531,4.0484
50,0,h,18,1613,9.41427
51,0,h,19,1547,7.30611
52,0,h,20,1615,8.0358
53,0,h,21,1577,7.37277
54,0,h,22,1669,6.61763
55,0,h,23,1569,9.12917
56,0,h,24,1561,7.04837
57,0,h,25,1517,4.65917
58,0,h,26,1583,5.21746
59,0,h,27,1611,7.67617
60,0,h,28,1649,7.71369
61,0,h,29,1573,6.68569
62,0,h,30,1567,7.13705
63,0,h,31,1567,9.09554
0,0,h,32,1557,10.4374
1,0,h,33,1565,8.24774
2,0,h,34,1523,8.77251
3,0,h,35,1591,8.90977
4,0,h,36,1637,8.132
5,0,h,37,1619,10.0908
6,0,h,38,1643,9.31886
7,0,h,39,1649,8.55342
8,0,h,40,1581,9.16117
9,0,h,41,1593,10.2877
10,0,h,42,1623,9.2231
11,0,h,43,1571,8.42203
12,0,h,44,1599,11.083
13,0,h,45,1565,6.79159
14,0,h,46,1585,7.07578
15,0,h,47,1633,7.96503
16,0,h,48,1603,12.9447
17,0,h,49,1579,11.3359
18,0,h,50,1649,10.0887
19,0,h,51,1547,10.3368
20,0,h,52,1603,9.29571
21,0,h,53,1587,7.90187
22,0,h,54,1557,8.37159
23,0,h,55,1689,9.13124
24,0,h,56,1603,9.76762
25,0,h,57,1593,8.94023
26,0,h,58,1587,8.5861
27,0,h,59,1577,10.0594
28,0,h,60,1577,10.7703
29,0,h,61,1579,12.1706
30,0,h,62,1671,10.3495
31,0,h,63,1631,10.1681
2048,0,h,64,1665,0.441162
96,0,l,0,1611,8.31248
97,0,l,1,1627,7.95106
98,0,l,2,1645,10.484
99,0,l,3,1579,7.84844
100,0,l,4,1599,6.93186
101,0,l,5,1637,7.48882
102,0,l,6,1593,8.40711
103,0,l,7,1595,8.92978
104,0,l,8,1667,9.58245
105,0,l,9,1643,10.9619
106,0,l,10,1633,9.02892
107,0,l,11,1711,8.15094
108,0,l,12,1715,11.3617
109,0,l,13,1605,8.45275
110,0,l,14,1651,9.60463
111,0,l,15,1667,7.79102
112,0,l,16,1571,7.68303
113,0,l,17,1579,6.7548
114,0,l,18,1591,8.98756
115,0,l,19,1629,8.67054
116,0,l,20,1681,10.3743
117,0,l,21,1591,7.20824
118,0,l,22,1619,9.21879
119,0,l,23,1711,7.71791
120,0,l,24,1679,8.39519
121,0,l,25,1657,8.25878
122,0,l,26,1681,11.2668
123,0,l,27,1627,7.8718
124,0,l,28,1633,7.85363
125,0,l,29,1659,10.0251
126,0,l,30,1615,10.7199
127,0,l,31,1599,10.6253
64,0,l,32,1645,9.54269
65,0,l,33,1583,8.99905
66,0,l,34,1581,6.6662
67,0,l,35,1547,7.80191
68,0,l,36,1609,9.25256
69,0,l,37,1593,8.94247
70,0,l,38,1545,8.48653
71,0,l,39,1611,7.3096
72,0,l,40,1525,7.62821
73,0,l,41,1485,6.95587
74,0,l,42,1611,7.19233
75,0,l,43,1513,7.51048
76,0,l,44,1509,7.40479
77,0,l,45,1537,6.88087
78,0,l,46,1499,8.05803
79,0,l,47,1537,9.5587
80,0,l,48,1525,7.51689
81,0,l,49,1515,7.26556
82,0,l,50,1577,6.91283
83,0,l,51,1627,6.53716
84,0,l,52,1593,6.66853
85,0,l,53,1603,8.07903
86,0,l,54,1533,7.90377
87,0,l,55,1503,7.53425
88,0,l,56,1549,7.04628
89,0,l,57,1537,6.81071
90,0,l,58,1557,7.48561
91,0,l,59,1561,8.15349
92,0,l,60,1583,8.19359
93,0,l,61,1649,7.74405
94,0,l,62,1619,8.47895
95,0,l,63,1523,7.93206
2049,0,l,64,1627,16.2234
