STRIP_ID,Detector,detector_side,Strip,threshold_ADC,threshold_keV
32,0,h,0,1657,7.5763
33,0,h,1,1601,6.56498
34,0,h,2,1601,5.57242
35,0,h,3,1647,6.49185
36,0,h,4,1671,9.905
37,0,h,5,1617,7.99044
38,0,h,6,1639,7.61632
39,0,h,7,1701,6.44541
40,0,h,8,1589,6.88342
41,0,h,9,1599,8.34153
42,0,h,10,1643,5.38155
43,0,h,11,1635,7.63978
44,0,h,12,1637,8.38388
45,0,h,13,1611,8.73764
46,0,h,14,1659,5.11729
47,0,h,15,1645,3.03756
48,0,h,16,1653,7.20947
49,0,h,17,1587,6.53535
50,0,h,18,1627,6.08221
51,0,h,19,1595,7.08045
52,0,h,20,1643,4.4053
53,0,h,21,1607,7.53026
54,0,h,22,1653,7.48087
55,0,h,23,1645,8.18735
56,0,h,24,1627,7.872
57,0,h,25,1651,6.50261
58,0,h,26,1601,5.52592
59,0,h,27,1671,6.42561
60,0,h,28,1615,7.40512
61,0,h,29,1637,6.78564
62,0,h,30,1645,7.82353
0,0,h,32,1679,11.8319
1,0,h,33,1623,10.7602
2,0,h,34,1641,10.8648
3,0,h,35,1727,10.3535
4,0,h,36,1695,6.79631
5,0,h,37,1567,8.05562
6,0,h,38,1609,8.67847
7,0,h,39,1627,9.91198
8,0,h,40,1671,5.09726
9,0,h,41,1701,7.04078
10,0,h,42,1703,8.43073
11,0,h,43,1611,9.22809
12,0,h,44,1639,8.69405
13,0,h,45,1643,9.24437
14,0,h,46,1681,7.93714
15,0,h,47,1639,7.79276
16,0,h,48,1679,6.56154
17,0,h,49,1681,5.41121
18,0,h,50,1681,9.15326
19,0,h,51,1655,8.09274
20,0,h,52,1589,7.83999
21,0,h,53,1663,9.57125
22,0,h,54,1641,4.23046
23,0,h,55,1677,8.45117
24,0,h,56,1653,6.78175
25,0,h,57,1689,9.58555
26,0,h,58,1623,7.23576
27,0,h,59,1681,6.6282
28,0,h,60,1691,8.00393
29,0,h,61,1655,9.80905
30,0,h,62,1669,6.57877
31,0,h,63,1703,7.97004
2048,0,h,64,1659,12.7027
96,0,l,0,1683,11.5975
97,0,l,1,1633,11.5298
98,0,l,2,1641,10.4178
99,0,l,3,1639,8.38499
100,0,l,4,1687,9.45054
101,0,l,5,1595,10.9176
102,0,l,6,1575,10.5306
103,0,l,7,1567,11.1904
104,0,l,8,1549,10.0189
105,0,l,9,1657,10.1535
106,0,l,10,1661,9.92948
107,0,l,11,1623,11.4776
108,0,l,12,1667,10.3034
109,0,l,13,1637,11.081
110,0,l,14,1653,10.4428
111,0,l,15,1575,10.2559
112,0,l,16,1607,10.3982
113,0,l,17,1543,10.1164
114,0,l,18,1611,11.8545
115,0,l,19,1539,11.034
116,0,l,20,1617,10.5382
117,0,l,21,1541,10.9761
118,0,l,22,1607,10.6077
119,0,l,23,1601,10.249
120,0,l,24,1613,10.0565
121,0,l,25,1581,9.78277
122,0,l,26,1639,10.7514
123,0,l,27,1583,10.5824
124,0,l,28,1619,11.0665
125,0,l,29,1585,11.509
126,0,l,30,1557,11.8359
127,0,l,31,1587,11.1217
64,0,l,32,1621,9.6896
65,0,l,33,1611,7.85656
66,0,l,34,1617,6.68828
67,0,l,35,1661,7.9841
68,0,l,36,1669,6.79013
69,0,l,37,1641,8.67241
70,0,l,38,1653,7.54537
71,0,l,39,1597,7.83822
72,0,l,40,1613,7.68218
73,0,l,41,1603,7.00648
74,0,l,42,1647,8.48416
75,0,l,43,1615,7.60403
76,0,l,44,1583,7.10927
77,0,l,45,1623,8.28962
78,0,l,46,1617,8.51494
79,0,l,47,1639,8.77875
80,0,l,48,1657,8.44344
81,0,l,49,1619,7.81635
82,0,l,50,1615,5.58378
83,0,l,51,1679,6.17609
84,0,l,52,1647,9.59528
85,0,l,53,1643,9.94875
86,0,l,54,1603,8.72487
87,0,l,55,1609,6.77971
88,0,l,56,1673,7.7978
89,0,l,57,1671,7.77564
90,0,l,58,1693,8.86498
91,0,l,59,1553,7.54352
92,0,l,60,1655,8.54922
93,0,l,61,1627,9.20221
94,0,l,62,1645,7.27583
95,0,l,63,1649,8.5362
2049,0,l,64,1665,16.9452
