STRIP_ID,Detector,side,strip,threshold_adc,threshold_keV
96,0,l,0,2028,7.0
97,0,l,1,2028,7.0
98,0,l,2,2028,7.0
99,0,l,3,2028,7.0
100,0,l,4,2028,7.0
101,0,l,5,2028,7.0
102,0,l,6,2028,7.0
103,0,l,7,2028,7.0
104,0,l,8,2028,7.0
105,0,l,9,2028,7.0
106,0,l,10,2028,7.0
107,0,l,11,2028,7.0
108,0,l,12,2028,7.0
109,0,l,13,2028,7.0
110,0,l,14,2028,7.0
111,0,l,15,2028,7.0
112,0,l,16,2028,7.0
113,0,l,17,2028,7.0
114,0,l,18,2028,7.0
115,0,l,19,2028,7.0
116,0,l,20,2028,7.0
117,0,l,21,2028,7.0
118,0,l,22,2028,7.0
119,0,l,23,2028,7.0
120,0,l,24,2028,7.0
121,0,l,25,2028,7.0
122,0,l,26,2028,7.0
123,0,l,27,2028,7.0
124,0,l,28,2028,7.0
125,0,l,29,2028,7.0
126,0,l,30,2028,7.0
127,0,l,31,2028,7.0
64,0,l,32,2028,7.0
65,0,l,33,2028,7.0
66,0,l,34,2028,7.0
67,0,l,35,2028,7.0
68,0,l,36,2028,7.0
69,0,l,37,2028,7.0
70,0,l,38,2028,7.0
71,0,l,39,2028,7.0
72,0,l,40,2028,7.0
73,0,l,41,2028,7.0
74,0,l,42,2028,7.0
75,0,l,43,2028,7.0
76,0,l,44,2028,7.0
77,0,l,45,2028,7.0
78,0,l,46,2028,7.0
79,0,l,47,2028,7.0
80,0,l,48,2028,7.0
81,0,l,49,2028,7.0
82,0,l,50,2028,7.0
83,0,l,51,2028,7.0
84,0,l,52,2028,7.0
85,0,l,53,2028,7.0
86,0,l,54,2028,7.0
87,0,l,55,2028,7.0
88,0,l,56,2028,7.0
89,0,l,57,2028,7.0
90,0,l,58,2028,7.0
91,0,l,59,2028,7.0
92,0,l,60,2028,7.0
93,0,l,61,2028,7.0
94,0,l,62,2028,7.0
95,0,l,63,2028,7.0
2049,0,l,64,2028,7.0
32,0,h,0,2028,7.0
33,0,h,1,2028,7.0
34,0,h,2,2028,7.0
35,0,h,3,2028,7.0
36,0,h,4,2028,7.0
37,0,h,5,2028,7.0
38,0,h,6,2028,7.0
39,0,h,7,2028,7.0
40,0,h,8,2028,7.0
41,0,h,9,2028,7.0
42,0,h,10,2028,7.0
43,0,h,11,2028,7.0
44,0,h,12,2028,7.0
45,0,h,13,2028,7.0
46,0,h,14,2028,7.0
47,0,h,15,2028,7.0
48,0,h,16,2028,7.0
49,0,h,17,2028,7.0
50,0,h,18,2028,7.0
51,0,h,19,2028,7.0
52,0,h,20,2028,7.0
53,0,h,21,2028,7.0
54,0,h,22,2028,7.0
55,0,h,23,2028,7.0
56,0,h,24,2028,7.0
57,0,h,25,2028,7.0
58,0,h,26,2028,7.0
59,0,h,27,2028,7.0
60,0,h,28,2028,7.0
61,0,h,29,2028,7.0
62,0,h,30,2028,7.0
63,0,h,31,2028,7.0
0,0,h,32,2028,7.0
1,0,h,33,2028,7.0
2,0,h,34,2028,7.0
3,0,h,35,2028,7.0
4,0,h,36,2028,7.0
5,0,h,37,2028,7.0
6,0,h,38,2028,7.0
7,0,h,39,2028,7.0
8,0,h,40,2028,7.0
9,0,h,41,2028,7.0
10,0,h,42,2028,7.0
11,0,h,43,2028,7.0
12,0,h,44,2028,7.0
13,0,h,45,2028,7.0
14,0,h,46,2028,7.0
15,0,h,47,2028,7.0
16,0,h,48,2028,7.0
17,0,h,49,2028,7.0
18,0,h,50,2028,7.0
19,0,h,51,2028,7.0
20,0,h,52,2028,7.0
21,0,h,53,2028,7.0
22,0,h,54,2028,7.0
23,0,h,55,2028,7.0
24,0,h,56,2028,7.0
25,0,h,57,2028,7.0
26,0,h,58,2028,7.0
27,0,h,59,2028,7.0
28,0,h,60,2028,7.0
29,0,h,61,2028,7.0
30,0,h,62,2028,7.0
31,0,h,63,2028,7.0
2048,0,h,64,2028,7.0
